description,industry,level,size,line_code,value
Collateral for financing: personal assets: no,Commercial fishing,2,total,D0302.02,39
Collateral for financing: personal assets: no,Forestry & logging,2,total,D0302.02,210
Collateral for financing: personal assets: no,"Agriculture, forestry, & fishing support services",2,total,D0302.02,828
Collateral for financing: personal assets: no,Mining,1,total,D0302.02,96
Collateral for financing: personal assets: no,Manufacturing,1,total,D0302.02,4344
Collateral for financing: personal assets: no,"Food, beverage, & tobacco",2,total,D0302.02,1032
Collateral for financing: personal assets: no,"Textile, clothing, footwear, & leather",2,total,D0302.02,204
Collateral for financing: personal assets: no,Wood & paper product,2,total,D0302.02,420
Collateral for financing: personal assets: no,"Printing, publishing, & recorded media",2,total,D0302.02,171
Collateral for financing: personal assets: no,"Petroleum, coal, chemical, & associated product",2,total,D0302.02,384
Collateral for financing: personal assets: no,Non-metallic mineral product,2,total,D0302.02,156
Collateral for financing: personal assets: no,Metal product,2,total,D0302.02,813
Collateral for financing: personal assets: no,Transport and industrial machinery & equipment,2,total,D0302.02,690
Collateral for financing: personal assets: no,Other machinery & equipment,2,total,D0302.02,201
Collateral for financing: personal assets: no,Other manufacturing,2,total,D0302.02,270
Collateral for financing: personal assets: no,"Electricity, gas, water, & waste services",1,total,D0302.02,177
Collateral for financing: personal assets: no,Construction,1,total,D0302.02,5511
Collateral for financing: personal assets: no,Wholesale trade,1,total,D0302.02,2571
Collateral for financing: personal assets: no,Machinery & equipment wholesaling,2,total,D0302.02,777
Collateral for financing: personal assets: no,Other wholesale trade,2,total,D0302.02,1794
Collateral for financing: personal assets: no,Retail trade,1,total,D0302.02,3378
Collateral for financing: personal assets: no,Accommodation & food services,1,total,D0302.02,4878
Collateral for financing: personal assets: no,"Transport, postal, & warehousing",1,total,D0302.02,1338
Collateral for financing: personal assets: no,Information media & telecommunications,1,total,D0302.02,369
Collateral for financing: personal assets: no,Publishing,2,total,D0302.02,144
Collateral for financing: personal assets: no,Motion picture,2,total,D0302.02,117
Collateral for financing: personal assets: no,Telecommunications,2,total,D0302.02,108
Collateral for financing: personal assets: no,Financial & insurance services,1,total,D0302.02,573
Collateral for financing: personal assets: no,Finance,2,total,D0302.02,177
Collateral for financing: personal assets: no,Insurance,2,total,D0302.02,36
Collateral for financing: personal assets: no,Auxiliary,2,total,D0302.02,363
Collateral for financing: personal assets: no,"Rental, hiring, & real estate services",1,total,D0302.02,750
Collateral for financing: personal assets: no,"Professional, scientific, & technical services",1,total,D0302.02,4200
Collateral for financing: personal assets: no,Computer systems design,2,total,D0302.02,894
Collateral for financing: personal assets: no,Other professional scientific,2,total,D0302.02,3306
Collateral for financing: personal assets: no,Administrative & support services,1,total,D0302.02,1476
Collateral for financing: personal assets: no,Education & training,1,total,D0302.02,861
Collateral for financing: personal assets: no,Health care & social assistance,1,total,D0302.02,2238
Collateral for financing: personal assets: no,Arts & recreation services,1,total,D0302.02,429
Collateral for financing: personal assets: no,Other services,1,total,D0302.02,1044
Collateral for financing: personal assets: no,total,0,total,D0302.02,37338
Changes in credit facilities: overdraft/credit limits: decreased,total,0,6–19 employees,D0401.01,1959
Changes in credit facilities: overdraft/credit limits: decreased,total,0,20–49 employees,D0401.01,396
Changes in credit facilities: overdraft/credit limits: decreased,total,0,50–99 employees,D0401.01,111
Changes in credit facilities: overdraft/credit limits: decreased,total,0,100+ employees,D0401.01,117
Changes in credit facilities: overdraft/credit limits: decreased,"Agriculture, forestry, & fishing",1,total,D0401.01,441
Changes in credit facilities: overdraft/credit limits: decreased,Agriculture,2,total,D0401.01,372
Changes in credit facilities: overdraft/credit limits: decreased,Commercial fishing,2,total,D0401.01,0
Changes in credit facilities: overdraft/credit limits: decreased,Forestry & logging,2,total,D0401.01,3
Changes in credit facilities: overdraft/credit limits: decreased,"Agriculture, forestry, & fishing support services",2,total,D0401.01,66
Changes in credit facilities: overdraft/credit limits: decreased,Mining,1,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,Manufacturing,1,total,D0401.01,285
Changes in credit facilities: overdraft/credit limits: decreased,"Food, beverage, & tobacco",2,total,D0401.01,51
Changes in credit facilities: overdraft/credit limits: decreased,"Textile, clothing, footwear, & leather",2,total,D0401.01,24
Changes in credit facilities: overdraft/credit limits: decreased,Wood & paper product,2,total,D0401.01,57
Changes in credit facilities: overdraft/credit limits: decreased,"Printing, publishing, & recorded media",2,total,D0401.01,3
Changes in credit facilities: overdraft/credit limits: decreased,"Petroleum, coal, chemical, & associated product",2,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,Non-metallic mineral product,2,total,D0401.01,12
Changes in credit facilities: overdraft/credit limits: decreased,Metal product,2,total,D0401.01,54
Changes in credit facilities: overdraft/credit limits: decreased,Transport and industrial machinery & equipment,2,total,D0401.01,42
Changes in credit facilities: overdraft/credit limits: decreased,Other machinery & equipment,2,total,D0401.01,15
Changes in credit facilities: overdraft/credit limits: decreased,Other manufacturing,2,total,D0401.01,18
Changes in credit facilities: overdraft/credit limits: decreased,"Electricity, gas, water, & waste services",1,total,D0401.01,9
Changes in credit facilities: overdraft/credit limits: decreased,Construction,1,total,D0401.01,123
Changes in credit facilities: overdraft/credit limits: decreased,Wholesale trade,1,total,D0401.01,135
Changes in credit facilities: overdraft/credit limits: decreased,Machinery & equipment wholesaling,2,total,D0401.01,60
Changes in credit facilities: overdraft/credit limits: decreased,Other wholesale trade,2,total,D0401.01,75
Changes in credit facilities: overdraft/credit limits: decreased,Retail trade,1,total,D0401.01,582
Changes in credit facilities: overdraft/credit limits: decreased,Accommodation & food services,1,total,D0401.01,237
Changes in credit facilities: overdraft/credit limits: decreased,"Transport, postal, & warehousing",1,total,D0401.01,27
Changes in credit facilities: overdraft/credit limits: decreased,Information media & telecommunications,1,total,D0401.01,24
Changes in credit facilities: overdraft/credit limits: decreased,Publishing,2,total,D0401.01,12
Changes in credit facilities: overdraft/credit limits: decreased,Motion picture,2,total,D0401.01,3
Changes in credit facilities: overdraft/credit limits: decreased,Telecommunications,2,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,Financial & insurance services,1,total,D0401.01,18
Changes in credit facilities: overdraft/credit limits: decreased,Finance,2,total,D0401.01,15
Changes in credit facilities: overdraft/credit limits: decreased,Insurance,2,total,D0401.01,0
Changes in credit facilities: overdraft/credit limits: decreased,Auxiliary,2,total,D0401.01,6
Changes in credit facilities: overdraft/credit limits: decreased,"Rental, hiring, & real estate services",1,total,D0401.01,90
Changes in credit facilities: overdraft/credit limits: decreased,"Professional, scientific, & technical services",1,total,D0401.01,273
Changes in credit facilities: overdraft/credit limits: decreased,Computer systems design,2,total,D0401.01,33
Changes in credit facilities: overdraft/credit limits: decreased,Other professional scientific,2,total,D0401.01,243
Changes in credit facilities: overdraft/credit limits: decreased,Administrative & support services,1,total,D0401.01,90
Changes in credit facilities: overdraft/credit limits: decreased,Education & training,1,total,D0401.01,33
Changes in credit facilities: overdraft/credit limits: decreased,Health care & social assistance,1,total,D0401.01,93
Changes in credit facilities: overdraft/credit limits: decreased,Arts & recreation services,1,total,D0401.01,21
Changes in credit facilities: overdraft/credit limits: decreased,Other services,1,total,D0401.01,84
Changes in credit facilities: overdraft/credit limits: decreased,total,0,total,D0401.01,2583
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,6–19 employees,D0401.02,20880
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,20–49 employees,D0401.02,4800
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,50–99 employees,D0401.02,1389
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,100+ employees,D0401.02,1149
Changes in credit facilities: overdraft/credit limits: stayed the same,"Agriculture, forestry, & fishing",1,total,D0401.02,2160
Changes in credit facilities: overdraft/credit limits: stayed the same,Agriculture,2,total,D0401.02,1485
Changes in credit facilities: overdraft/credit limits: stayed the same,Commercial fishing,2,total,D0401.02,30
Changes in credit facilities: overdraft/credit limits: stayed the same,Forestry & logging,2,total,D0401.02,174
Changes in credit facilities: overdraft/credit limits: stayed the same,"Agriculture, forestry, & fishing support services",2,total,D0401.02,471
Changes in credit facilities: overdraft/credit limits: stayed the same,Mining,1,total,D0401.02,60
Changes in credit facilities: overdraft/credit limits: stayed the same,Manufacturing,1,total,D0401.02,3132
Changes in credit facilities: overdraft/credit limits: stayed the same,"Food, beverage, & tobacco",2,total,D0401.02,705
Changes in credit facilities: overdraft/credit limits: stayed the same,"Textile, clothing, footwear, & leather",2,total,D0401.02,165
Changes in credit facilities: overdraft/credit limits: stayed the same,Wood & paper product,2,total,D0401.02,267
Changes in credit facilities: overdraft/credit limits: stayed the same,"Printing, publishing, & recorded media",2,total,D0401.02,153
Changes in credit facilities: overdraft/credit limits: stayed the same,"Petroleum, coal, chemical, & associated product",2,total,D0401.02,243
Changes in credit facilities: overdraft/credit limits: stayed the same,Non-metallic mineral product,2,total,D0401.02,129
Changes in credit facilities: overdraft/credit limits: stayed the same,Metal product,2,total,D0401.02,507
Changes in credit facilities: overdraft/credit limits: stayed the same,Transport and industrial machinery & equipment,2,total,D0401.02,570
Changes in credit facilities: overdraft/credit limits: stayed the same,Other machinery & equipment,2,total,D0401.02,120
Changes in credit facilities: overdraft/credit limits: stayed the same,Other manufacturing,2,total,D0401.02,270
Changes in credit facilities: overdraft/credit limits: stayed the same,"Electricity, gas, water, & waste services",1,total,D0401.02,126
Changes in credit facilities: overdraft/credit limits: stayed the same,Construction,1,total,D0401.02,4548
Changes in credit facilities: overdraft/credit limits: stayed the same,Wholesale trade,1,total,D0401.02,1707
Changes in credit facilities: overdraft/credit limits: stayed the same,Machinery & equipment wholesaling,2,total,D0401.02,522
Changes in credit facilities: overdraft/credit limits: stayed the same,Other wholesale trade,2,total,D0401.02,1182
Changes in credit facilities: overdraft/credit limits: stayed the same,Retail trade,1,total,D0401.02,2940
Changes in credit facilities: overdraft/credit limits: stayed the same,Accommodation & food services,1,total,D0401.02,3810
Changes in credit facilities: overdraft/credit limits: stayed the same,"Transport, postal, & warehousing",1,total,D0401.02,957
Changes in credit facilities: overdraft/credit limits: stayed the same,Information media & telecommunications,1,total,D0401.02,255
Changes in credit facilities: overdraft/credit limits: stayed the same,Publishing,2,total,D0401.02,93
Changes in credit facilities: overdraft/credit limits: stayed the same,Motion picture,2,total,D0401.02,96
Changes in credit facilities: overdraft/credit limits: stayed the same,Telecommunications,2,total,D0401.02,63
Changes in credit facilities: overdraft/credit limits: stayed the same,Financial & insurance services,1,total,D0401.02,348
Changes in credit facilities: overdraft/credit limits: stayed the same,Finance,2,total,D0401.02,96
Changes in credit facilities: overdraft/credit limits: stayed the same,Insurance,2,total,D0401.02,12
Changes in credit facilities: overdraft/credit limits: stayed the same,Auxiliary,2,total,D0401.02,240
Changes in credit facilities: overdraft/credit limits: stayed the same,"Rental, hiring, & real estate services",1,total,D0401.02,633
Changes in credit facilities: overdraft/credit limits: stayed the same,"Professional, scientific, & technical services",1,total,D0401.02,3039
Changes in credit facilities: overdraft/credit limits: stayed the same,Computer systems design,2,total,D0401.02,501
Changes in credit facilities: overdraft/credit limits: stayed the same,Other professional scientific,2,total,D0401.02,2541
Changes in credit facilities: overdraft/credit limits: stayed the same,Administrative & support services,1,total,D0401.02,1026
Changes in credit facilities: overdraft/credit limits: stayed the same,Education & training,1,total,D0401.02,627
Changes in credit facilities: overdraft/credit limits: stayed the same,Health care & social assistance,1,total,D0401.02,1689
Changes in credit facilities: overdraft/credit limits: stayed the same,Arts & recreation services,1,total,D0401.02,336
Changes in credit facilities: overdraft/credit limits: stayed the same,Other services,1,total,D0401.02,816
Changes in credit facilities: overdraft/credit limits: stayed the same,total,0,total,D0401.02,28218
Changes in credit facilities: overdraft/credit limits: increased,total,0,6–19 employees,D0401.03,4284
Changes in credit facilities: overdraft/credit limits: increased,total,0,20–49 employees,D0401.03,1497
Changes in credit facilities: overdraft/credit limits: increased,total,0,50–99 employees,D0401.03,441
Changes in credit facilities: overdraft/credit limits: increased,total,0,100+ employees,D0401.03,276
Changes in credit facilities: overdraft/credit limits: increased,"Agriculture, forestry, & fishing",1,total,D0401.03,573
Changes in credit facilities: overdraft/credit limits: increased,Agriculture,2,total,D0401.03,333
Changes in credit facilities: overdraft/credit limits: increased,Commercial fishing,2,total,D0401.03,9
Changes in credit facilities: overdraft/credit limits: increased,Forestry & logging,2,total,D0401.03,45
Changes in credit facilities: overdraft/credit limits: increased,"Agriculture, forestry, & fishing support services",2,total,D0401.03,186
Changes in credit facilities: overdraft/credit limits: increased,Mining,1,total,D0401.03,12
Changes in credit facilities: overdraft/credit limits: increased,Manufacturing,1,total,D0401.03,888
Changes in credit facilities: overdraft/credit limits: increased,"Food, beverage, & tobacco",2,total,D0401.03,231
Changes in credit facilities: overdraft/credit limits: increased,"Textile, clothing, footwear, & leather",2,total,D0401.03,18
Changes in credit facilities: overdraft/credit limits: increased,Wood & paper product,2,total,D0401.03,90
Changes in credit facilities: overdraft/credit limits: increased,"Printing, publishing, & recorded media",2,total,D0401.03,27
Changes in credit facilities: overdraft/credit limits: increased,"Petroleum, coal, chemical, & associated product",2,total,D0401.03,87
Changes in credit facilities: overdraft/credit limits: increased,Non-metallic mineral product,2,total,D0401.03,30
Changes in credit facilities: overdraft/credit limits: increased,Metal product,2,total,D0401.03,159
Changes in credit facilities: overdraft/credit limits: increased,Transport and industrial machinery & equipment,2,total,D0401.03,165
Changes in credit facilities: overdraft/credit limits: increased,Other machinery & equipment,2,total,D0401.03,51
Changes in credit facilities: overdraft/credit limits: increased,Other manufacturing,2,total,D0401.03,30
Changes in credit facilities: overdraft/credit limits: increased,"Electricity, gas, water, & waste services",1,total,D0401.03,30
Changes in credit facilities: overdraft/credit limits: increased,Construction,1,total,D0401.03,1296
Changes in credit facilities: overdraft/credit limits: increased,Wholesale trade,1,total,D0401.03,606
Changes in credit facilities: overdraft/credit limits: increased,Machinery & equipment wholesaling,2,total,D0401.03,108
Changes in credit facilities: overdraft/credit limits: increased,Other wholesale trade,2,total,D0401.03,495
Changes in credit facilities: overdraft/credit limits: increased,Retail trade,1,total,D0401.03,627
Changes in credit facilities: overdraft/credit limits: increased,Accommodation & food services,1,total,D0401.03,903
Changes in credit facilities: overdraft/credit limits: increased,"Transport, postal, & warehousing",1,total,D0401.03,249
Changes in credit facilities: overdraft/credit limits: increased,Information media & telecommunications,1,total,D0401.03,39
Changes in credit facilities: overdraft/credit limits: increased,Publishing,2,total,D0401.03,18
Changes in credit facilities: overdraft/credit limits: increased,Motion picture,2,total,D0401.03,6
Changes in credit facilities: overdraft/credit limits: increased,Telecommunications,2,total,D0401.03,9
Changes in credit facilities: overdraft/credit limits: increased,Financial & insurance services,1,total,D0401.03,48
Changes in credit facilities: overdraft/credit limits: increased,Finance,2,total,D0401.03,27
Changes in credit facilities: overdraft/credit limits: increased,Insurance,2,total,D0401.03,3
Changes in credit facilities: overdraft/credit limits: increased,Auxiliary,2,total,D0401.03,21
Changes in credit facilities: overdraft/credit limits: increased,"Rental, hiring, & real estate services",1,total,D0401.03,93
Changes in credit facilities: overdraft/credit limits: increased,"Professional, scientific, & technical services",1,total,D0401.03,417
Changes in credit facilities: overdraft/credit limits: increased,Computer systems design,2,total,D0401.03,90
Changes in credit facilities: overdraft/credit limits: increased,Other professional scientific,2,total,D0401.03,333
Changes in credit facilities: overdraft/credit limits: increased,Administrative & support services,1,total,D0401.03,123
Changes in credit facilities: overdraft/credit limits: increased,Education & training,1,total,D0401.03,147
Changes in credit facilities: overdraft/credit limits: increased,Health care & social assistance,1,total,D0401.03,201
Changes in credit facilities: overdraft/credit limits: increased,Arts & recreation services,1,total,D0401.03,42
Changes in credit facilities: overdraft/credit limits: increased,Other services,1,total,D0401.03,201
Changes in credit facilities: overdraft/credit limits: increased,total,0,total,D0401.03,6501
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,6–19 employees,D0401.04,8202
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,20–49 employees,D0401.04,1584
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,50–99 employees,D0401.04,492
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,100+ employees,D0401.04,372
Changes in credit facilities: overdraft/credit limits: not applicable,"Agriculture, forestry, & fishing",1,total,D0401.04,573
Changes in credit facilities: overdraft/credit limits: not applicable,Agriculture,2,total,D0401.04,252
Changes in credit facilities: overdraft/credit limits: not applicable,Commercial fishing,2,total,D0401.04,9
Changes in credit facilities: overdraft/credit limits: not applicable,Forestry & logging,2,total,D0401.04,48
Changes in credit facilities: overdraft/credit limits: not applicable,"Agriculture, forestry, & fishing support services",2,total,D0401.04,264
Changes in credit facilities: overdraft/credit limits: not applicable,Mining,1,total,D0401.04,36
Changes in credit facilities: overdraft/credit limits: not applicable,Manufacturing,1,total,D0401.04,1155
Changes in credit facilities: overdraft/credit limits: not applicable,"Food, beverage, & tobacco",2,total,D0401.04,237
Changes in credit facilities: overdraft/credit limits: not applicable,"Textile, clothing, footwear, & leather",2,total,D0401.04,57
Changes in credit facilities: overdraft/credit limits: not applicable,Wood & paper product,2,total,D0401.04,120
Changes in credit facilities: overdraft/credit limits: not applicable,"Printing, publishing, & recorded media",2,total,D0401.04,24
Changes in credit facilities: overdraft/credit limits: not applicable,"Petroleum, coal, chemical, & associated product",2,total,D0401.04,114
Changes in credit facilities: overdraft/credit limits: not applicable,Non-metallic mineral product,2,total,D0401.04,36
Changes in credit facilities: overdraft/credit limits: not applicable,Metal product,2,total,D0401.04,282
Changes in credit facilities: overdraft/credit limits: not applicable,Transport and industrial machinery & equipment,2,total,D0401.04,156
Changes in credit facilities: overdraft/credit limits: not applicable,Other machinery & equipment,2,total,D0401.04,57
Changes in credit facilities: overdraft/credit limits: not applicable,Other manufacturing,2,total,D0401.04,63
Changes in credit facilities: overdraft/credit limits: not applicable,"Electricity, gas, water, & waste services",1,total,D0401.04,39
Changes in credit facilities: overdraft/credit limits: not applicable,Construction,1,total,D0401.04,1215
Changes in credit facilities: overdraft/credit limits: not applicable,Wholesale trade,1,total,D0401.04,750
Changes in credit facilities: overdraft/credit limits: not applicable,Machinery & equipment wholesaling,2,total,D0401.04,264
Changes in credit facilities: overdraft/credit limits: not applicable,Other wholesale trade,2,total,D0401.04,486
Changes in credit facilities: overdraft/credit limits: not applicable,Retail trade,1,total,D0401.04,849
Changes in credit facilities: overdraft/credit limits: not applicable,Accommodation & food services,1,total,D0401.04,1710
Changes in credit facilities: overdraft/credit limits: not applicable,"Transport, postal, & warehousing",1,total,D0401.04,408
Changes in credit facilities: overdraft/credit limits: not applicable,Information media & telecommunications,1,total,D0401.04,111
Changes in credit facilities: overdraft/credit limits: not applicable,Publishing,2,total,D0401.04,42
Changes in credit facilities: overdraft/credit limits: not applicable,Motion picture,2,total,D0401.04,27
Changes in credit facilities: overdraft/credit limits: not applicable,Telecommunications,2,total,D0401.04,42
Changes in credit facilities: overdraft/credit limits: not applicable,Financial & insurance services,1,total,D0401.04,231
Changes in credit facilities: overdraft/credit limits: not applicable,Finance,2,total,D0401.04,54
Changes in credit facilities: overdraft/credit limits: not applicable,Insurance,2,total,D0401.04,24
Changes in credit facilities: overdraft/credit limits: not applicable,Auxiliary,2,total,D0401.04,156
Changes in credit facilities: overdraft/credit limits: not applicable,"Rental, hiring, & real estate services",1,total,D0401.04,192
Changes in credit facilities: overdraft/credit limits: not applicable,"Professional, scientific, & technical services",1,total,D0401.04,1281
Changes in credit facilities: overdraft/credit limits: not applicable,Computer systems design,2,total,D0401.04,330
Changes in credit facilities: overdraft/credit limits: not applicable,Other professional scientific,2,total,D0401.04,957
Changes in credit facilities: overdraft/credit limits: not applicable,Administrative & support services,1,total,D0401.04,501
Changes in credit facilities: overdraft/credit limits: not applicable,Education & training,1,total,D0401.04,330
Changes in credit facilities: overdraft/credit limits: not applicable,Health care & social assistance,1,total,D0401.04,834
Changes in credit facilities: overdraft/credit limits: not applicable,Arts & recreation services,1,total,D0401.04,138
Changes in credit facilities: overdraft/credit limits: not applicable,Other services,1,total,D0401.04,291
Changes in credit facilities: overdraft/credit limits: not applicable,total,0,total,D0401.04,10650
Changes in credit facilities: interest rates: decreased,total,0,6–19 employees,D0402.01,810
Changes in credit facilities: interest rates: decreased,total,0,20–49 employees,D0402.01,171
Changes in credit facilities: interest rates: decreased,total,0,50–99 employees,D0402.01,69
Changes in credit facilities: interest rates: decreased,total,0,100+ employees,D0402.01,75
Changes in credit facilities: interest rates: decreased,"Agriculture, forestry, & fishing",1,total,D0402.01,162
Changes in credit facilities: interest rates: decreased,Agriculture,2,total,D0402.01,132
Changes in credit facilities: interest rates: decreased,Commercial fishing,2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,Forestry & logging,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,"Agriculture, forestry, & fishing support services",2,total,D0402.01,30
Changes in credit facilities: interest rates: decreased,Mining,1,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Manufacturing,1,total,D0402.01,87
Changes in credit facilities: interest rates: decreased,"Food, beverage, & tobacco",2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,"Textile, clothing, footwear, & leather",2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,Wood & paper product,2,total,D0402.01,27
Changes in credit facilities: interest rates: decreased,"Printing, publishing, & recorded media",2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,"Petroleum, coal, chemical, & associated product",2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Non-metallic mineral product,2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Metal product,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Transport and industrial machinery & equipment,2,total,D0402.01,21
Changes in credit facilities: interest rates: decreased,Other machinery & equipment,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Other manufacturing,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,"Electricity, gas, water, & waste services",1,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Construction,1,total,D0402.01,174
Changes in credit facilities: interest rates: decreased,Wholesale trade,1,total,D0402.01,42
Changes in credit facilities: interest rates: decreased,Machinery & equipment wholesaling,2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Other wholesale trade,2,total,D0402.01,36
Changes in credit facilities: interest rates: decreased,Retail trade,1,total,D0402.01,117
Changes in credit facilities: interest rates: decreased,Accommodation & food services,1,total,D0402.01,69
Changes in credit facilities: interest rates: decreased,"Transport, postal, & warehousing",1,total,D0402.01,90
Changes in credit facilities: interest rates: decreased,Information media & telecommunications,1,total,D0402.01,12
Changes in credit facilities: interest rates: decreased,Publishing,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Motion picture,2,total,D0402.01,0
Changes in credit facilities: interest rates: decreased,Telecommunications,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Financial & insurance services,1,total,D0402.01,12
Changes in credit facilities: interest rates: decreased,Finance,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Insurance,2,total,D0402.01,3
Changes in credit facilities: interest rates: decreased,Auxiliary,2,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,"Rental, hiring, & real estate services",1,total,D0402.01,33
Changes in credit facilities: interest rates: decreased,"Professional, scientific, & technical services",1,total,D0402.01,162
Changes in credit facilities: interest rates: decreased,Computer systems design,2,total,D0402.01,6
Changes in credit facilities: interest rates: decreased,Other professional scientific,2,total,D0402.01,156
Changes in credit facilities: interest rates: decreased,Administrative & support services,1,total,D0402.01,33
Changes in credit facilities: interest rates: decreased,Education & training,1,total,D0402.01,39
Changes in credit facilities: interest rates: decreased,Health care & social assistance,1,total,D0402.01,45
Changes in credit facilities: interest rates: decreased,Arts & recreation services,1,total,D0402.01,9
Changes in credit facilities: interest rates: decreased,Other services,1,total,D0402.01,21
Changes in credit facilities: interest rates: decreased,total,0,total,D0402.01,1128
Changes in credit facilities: interest rates: stayed the same,total,0,6–19 employees,D0402.02,8988
Changes in credit facilities: interest rates: stayed the same,total,0,20–49 employees,D0402.02,2124
Changes in credit facilities: interest rates: stayed the same,total,0,50–99 employees,D0402.02,540
Changes in credit facilities: interest rates: stayed the same,total,0,100+ employees,D0402.02,459
Changes in credit facilities: interest rates: stayed the same,"Agriculture, forestry, & fishing",1,total,D0402.02,747
Changes in credit facilities: interest rates: stayed the same,Agriculture,2,total,D0402.02,510
Changes in credit facilities: interest rates: stayed the same,Commercial fishing,2,total,D0402.02,12
Changes in credit facilities: interest rates: stayed the same,Forestry & logging,2,total,D0402.02,45
Changes in credit facilities: interest rates: stayed the same,"Agriculture, forestry, & fishing support services",2,total,D0402.02,183
Changes in credit facilities: interest rates: stayed the same,Mining,1,total,D0402.02,33
Changes in credit facilities: interest rates: stayed the same,Manufacturing,1,total,D0402.02,1251
Changes in credit facilities: interest rates: stayed the same,"Food, beverage, & tobacco",2,total,D0402.02,297
Changes in credit facilities: interest rates: stayed the same,"Textile, clothing, footwear, & leather",2,total,D0402.02,57
Changes in credit facilities: interest rates: stayed the same,Wood & paper product,2,total,D0402.02,84
Changes in credit facilities: interest rates: stayed the same,"Printing, publishing, & recorded media",2,total,D0402.02,66
Changes in credit facilities: interest rates: stayed the same,"Petroleum, coal, chemical, & associated product",2,total,D0402.02,123
Changes in credit facilities: interest rates: stayed the same,Non-metallic mineral product,2,total,D0402.02,51
Changes in credit facilities: interest rates: stayed the same,Metal product,2,total,D0402.02,222
Changes in credit facilities: interest rates: stayed the same,Transport and industrial machinery & equipment,2,total,D0402.02,177
Changes in credit facilities: interest rates: stayed the same,Other machinery & equipment,2,total,D0402.02,63
Changes in credit facilities: interest rates: stayed the same,Other manufacturing,2,total,D0402.02,114
Changes in credit facilities: interest rates: stayed the same,"Electricity, gas, water, & waste services",1,total,D0402.02,54
Changes in credit facilities: interest rates: stayed the same,Construction,1,total,D0402.02,1665
Changes in credit facilities: interest rates: stayed the same,Wholesale trade,1,total,D0402.02,786
Changes in credit facilities: interest rates: stayed the same,Machinery & equipment wholesaling,2,total,D0402.02,282
Changes in credit facilities: interest rates: stayed the same,Other wholesale trade,2,total,D0402.02,504
Changes in credit facilities: interest rates: stayed the same,Retail trade,1,total,D0402.02,1299
Changes in credit facilities: interest rates: stayed the same,Accommodation & food services,1,total,D0402.02,1824
Changes in credit facilities: interest rates: stayed the same,"Transport, postal, & warehousing",1,total,D0402.02,357
Changes in credit facilities: interest rates: stayed the same,Information media & telecommunications,1,total,D0402.02,141
Changes in credit facilities: interest rates: stayed the same,Publishing,2,total,D0402.02,60
Changes in credit facilities: interest rates: stayed the same,Motion picture,2,total,D0402.02,48
Changes in credit facilities: interest rates: stayed the same,Telecommunications,2,total,D0402.02,30
Changes in credit facilities: interest rates: stayed the same,Financial & insurance services,1,total,D0402.02,126
Changes in credit facilities: interest rates: stayed the same,Finance,2,total,D0402.02,39
Changes in credit facilities: interest rates: stayed the same,Insurance,2,total,D0402.02,12
Changes in credit facilities: interest rates: stayed the same,Auxiliary,2,total,D0402.02,78
Changes in credit facilities: interest rates: stayed the same,"Rental, hiring, & real estate services",1,total,D0402.02,255
Changes in credit facilities: interest rates: stayed the same,"Professional, scientific, & technical services",1,total,D0402.02,1659
Changes in credit facilities: interest rates: stayed the same,Computer systems design,2,total,D0402.02,363
Changes in credit facilities: interest rates: stayed the same,Other professional scientific,2,total,D0402.02,1299
Changes in credit facilities: interest rates: stayed the same,Administrative & support services,1,total,D0402.02,510
Changes in credit facilities: interest rates: stayed the same,Education & training,1,total,D0402.02,237
Changes in credit facilities: interest rates: stayed the same,Health care & social assistance,1,total,D0402.02,681
Changes in credit facilities: interest rates: stayed the same,Arts & recreation services,1,total,D0402.02,147
Changes in credit facilities: interest rates: stayed the same,Other services,1,total,D0402.02,336
